transferid,organid,fromhospitalid,tohospitalid,pickuptime,deliverytime,transportationmode,preservation,conditiononarrival
9990175,333895,5,47,2019-07-23 03:01:17,2019-07-23 08:57:17,Helicopter,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990176,333915,23,27,2018-08-28 03:37:06,2018-08-29 01:53:06,Charter Jet,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990177,333949,19,14,2021-02-02 08:45:54,2021-02-02 12:08:54,Helicopter,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990178,333949,23,26,2021-07-14 21:19:43,2021-07-14 23:21:43,Charter Jet,Cryopreservation,Excellent - No signs of damage or degradation
9990179,333564,41,32,2023-02-15 10:23:35,2023-02-15 14:28:35,Helicopter,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990180,333862,48,5,2024-01-22 12:47:15,2024-01-22 21:29:15,Helicopter,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990181,333884,35,29,2023-10-19 02:07:21,2023-10-20 00:06:21,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990182,333882,11,33,2023-09-06 04:49:07,2023-09-07 04:38:07,Charter Jet,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990183,333784,1,3,2018-10-26 00:32:02,2018-10-26 09:56:02,Helicopter,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990184,333353,35,29,2022-08-18 04:07:12,2022-08-19 00:09:12,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990185,333680,16,38,2024-12-08 18:27:54,2024-12-09 07:07:54,Charter Jet,Cryopreservation,Good - Minor superficial bruising - viable
9990186,333875,18,4,2021-11-20 21:30:36,2021-11-21 04:30:36,Helicopter,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990187,334214,13,45,2024-06-11 16:29:27,2024-06-12 00:57:27,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990188,333887,50,21,2021-12-03 13:43:51,2021-12-04 02:27:51,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990189,333557,18,26,2024-11-11 18:48:02,2024-11-12 02:02:02,Medical Courier Service,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990190,333701,6,31,2022-10-13 17:38:00,2022-10-13 23:35:00,Helicopter,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990191,333470,22,44,2018-11-03 04:41:41,2018-11-04 00:12:41,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990192,334174,10,15,2018-06-21 18:22:20,2018-06-22 18:19:20,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990193,333424,3,42,2022-04-14 00:22:54,2022-04-14 18:33:54,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990194,333648,8,50,2025-06-09 03:30:18,2025-06-09 17:02:18,Charter Jet,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990195,333651,39,37,2018-10-17 22:23:10,2018-10-18 05:58:10,Charter Jet,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990196,334088,23,1,2024-08-30 19:48:23,2024-08-31 10:10:23,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990197,333921,22,41,2019-04-18 02:54:57,2019-04-18 13:56:57,Medical Courier Service,Cryopreservation,Good - Minor superficial bruising - viable
9990198,333551,12,47,2022-11-19 06:40:27,2022-11-19 13:16:27,Medical Courier Service,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990199,333612,16,31,2020-01-27 14:20:09,2020-01-27 20:15:09,Specialized Ambulance,Cryopreservation,Excellent - No signs of damage or degradation
9990200,333439,27,26,2020-05-11 09:14:58,2020-05-11 17:07:58,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990201,333677,3,38,2022-08-23 15:45:04,2022-08-23 21:14:04,Charter Jet,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990202,334192,14,12,2018-07-14 16:13:19,2018-07-15 08:22:19,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990203,333883,14,20,2020-11-08 15:51:22,2020-11-08 20:44:22,Charter Jet,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990204,333335,26,49,2020-04-12 03:10:31,2020-04-12 06:13:31,Air Transport (Commercial),Cryopreservation,Excellent - No signs of damage or degradation
9990205,333432,3,26,2019-01-14 03:16:38,2019-01-15 03:29:38,Helicopter,Cryopreservation,Compromised - Significant ischemic injury
9990206,333335,42,8,2021-08-25 23:46:37,2021-08-26 20:37:37,Specialized Ambulance,Cryopreservation,Excellent - No signs of damage or degradation
9990207,333435,24,13,2024-08-31 10:18:13,2024-08-31 22:22:13,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990208,333605,3,15,2018-06-25 14:36:05,2018-06-26 10:13:05,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990209,334059,5,38,2023-04-03 10:10:25,2023-04-03 21:41:25,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990210,333521,7,2,2022-09-27 18:44:47,2022-09-28 02:07:47,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990211,333723,45,39,2025-04-17 00:46:26,2025-04-17 10:58:26,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990212,333364,32,46,2021-12-13 22:37:43,2021-12-14 16:17:43,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990213,334046,7,6,2023-04-01 06:31:23,2023-04-01 08:34:23,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990214,333851,29,38,2019-11-08 06:46:16,2019-11-08 16:39:16,Helicopter,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990215,334130,41,48,2024-04-09 02:25:12,2024-04-09 13:49:12,Air Transport (Commercial),Cryopreservation,Compromised - Significant ischemic injury
9990216,333743,34,2,2020-08-19 09:29:33,2020-08-20 04:27:33,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990217,333569,34,36,2023-12-28 04:01:04,2023-12-28 14:23:04,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990218,333834,37,47,2020-04-11 09:22:53,2020-04-12 10:03:53,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990219,333592,48,13,2020-11-14 18:25:17,2020-11-15 15:05:17,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990220,334100,29,38,2021-08-30 02:02:26,2021-08-30 20:33:26,Helicopter,Cryopreservation,Good - Minor superficial bruising - viable
9990221,333368,1,8,2021-08-07 13:38:35,2021-08-08 03:09:35,Charter Jet,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990222,333727,40,44,2023-02-04 17:53:42,2023-02-05 06:27:42,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990223,333519,41,14,2023-08-21 10:09:39,2023-08-22 06:05:39,Helicopter,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990224,333411,10,3,2023-02-12 06:30:59,2023-02-13 04:43:59,Charter Jet,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990225,333848,45,12,2020-10-03 21:42:20,2020-10-04 17:54:20,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990226,333914,34,25,2024-11-13 14:00:42,2024-11-14 13:28:42,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990227,333742,45,15,2024-11-07 03:47:45,2024-11-07 13:11:45,Helicopter,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990228,334135,18,7,2021-11-22 03:01:15,2021-11-22 19:35:15,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990229,333823,21,14,2024-04-15 17:53:23,2024-04-16 17:15:23,Specialized Ambulance,Cryopreservation,Good - Minor superficial bruising - viable
9990230,334262,32,5,2024-08-23 18:25:18,2024-08-24 10:54:18,Charter Jet,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990231,334317,26,33,2022-11-23 01:17:06,2022-11-23 21:09:06,Charter Jet,Cryopreservation,Good - Minor superficial bruising - viable
9990232,333875,4,32,2022-08-06 03:11:05,2022-08-06 14:08:05,Charter Jet,Cryopreservation,Compromised - Significant ischemic injury
9990233,333542,8,5,2022-10-06 16:15:19,2022-10-07 02:02:19,Helicopter,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990234,333359,41,38,2019-01-25 14:09:36,2019-01-26 00:31:36,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990235,333888,7,16,2021-06-12 08:39:14,2021-06-13 03:41:14,Charter Jet,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990236,334138,48,17,2022-05-13 08:56:55,2022-05-13 14:10:55,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990237,333479,44,22,2021-02-25 03:30:30,2021-02-25 09:19:30,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990238,333683,28,6,2019-08-30 14:19:37,2019-08-31 12:58:37,Medical Courier Service,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990239,333867,28,4,2024-06-12 07:27:57,2024-06-12 20:20:57,Charter Jet,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990240,333564,17,21,2020-09-04 05:02:36,2020-09-05 02:33:36,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990241,334067,41,6,2024-11-15 01:38:18,2024-11-15 21:33:18,Charter Jet,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990242,333779,23,29,2024-05-30 10:00:15,2024-05-31 01:32:15,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990243,333556,11,37,2019-04-06 14:15:28,2019-04-07 06:15:28,Helicopter,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990244,333339,3,32,2019-11-14 03:29:59,2019-11-14 13:16:59,Charter Jet,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990245,333448,4,15,2021-03-10 21:16:14,2021-03-11 14:10:14,Helicopter,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990246,333341,16,12,2025-01-13 08:42:23,2025-01-13 18:52:23,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990247,333963,42,26,2019-02-08 03:33:03,2019-02-08 20:42:03,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990248,333576,36,8,2025-06-13 06:17:11,2025-06-14 01:58:11,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990249,333713,20,22,2018-10-08 04:35:18,2018-10-08 08:34:18,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990250,333665,25,32,2019-11-09 15:05:03,2019-11-09 17:21:03,Charter Jet,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990251,334081,6,33,2023-07-28 09:36:14,2023-07-28 21:47:14,Charter Jet,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990252,334063,4,5,2024-09-29 16:35:22,2024-09-30 06:59:22,Helicopter,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990253,334233,14,46,2023-02-19 01:19:02,2023-02-20 01:39:02,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990254,334140,47,38,2020-12-20 20:27:00,2020-12-21 03:54:00,Helicopter,Cryopreservation,Compromised - Significant ischemic injury
9990255,333672,24,33,2021-12-09 02:00:33,2021-12-10 00:03:33,Charter Jet,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990256,333421,30,12,2020-12-19 05:17:51,2020-12-19 13:25:51,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990257,333979,15,5,2024-05-07 15:41:37,2024-05-08 16:14:37,Specialized Ambulance,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990258,333598,12,41,2022-12-16 11:57:15,2022-12-17 11:25:15,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990259,334036,47,35,2023-01-21 01:00:50,2023-01-21 14:22:50,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990260,333868,1,17,2019-03-01 04:59:18,2019-03-01 14:34:18,Charter Jet,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990261,333887,12,7,2024-03-25 10:46:30,2024-03-26 00:18:30,Medical Courier Service,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990262,334193,3,7,2024-01-27 10:13:36,2024-01-27 19:00:36,Helicopter,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990263,333811,20,39,2021-09-26 05:36:15,2021-09-26 23:57:15,Charter Jet,Cryopreservation,Excellent - No signs of damage or degradation
9990264,334020,33,14,2024-01-01 10:54:53,2024-01-01 18:21:53,Medical Courier Service,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990265,333881,6,26,2023-07-02 15:26:46,2023-07-03 14:13:46,Helicopter,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990266,334283,14,48,2024-04-05 21:49:37,2024-04-06 21:53:37,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990267,334238,41,25,2018-09-20 23:47:43,2018-09-21 15:15:43,Helicopter,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990268,334169,38,1,2018-07-26 08:31:27,2018-07-27 01:39:27,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990269,334312,37,25,2022-05-18 02:32:45,2022-05-18 20:10:45,Charter Jet,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990270,334143,15,7,2022-10-22 23:14:25,2022-10-23 14:21:25,Charter Jet,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990271,333404,23,33,2018-10-24 03:43:34,2018-10-24 05:48:34,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990272,333740,9,41,2018-12-09 09:11:27,2018-12-09 15:43:27,Medical Courier Service,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990273,333636,12,48,2021-09-09 05:27:31,2021-09-09 23:43:31,Medical Courier Service,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990274,334294,7,19,2020-02-24 19:04:59,2020-02-25 04:18:59,Helicopter,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990275,334094,2,48,2021-01-16 13:24:17,2021-01-17 07:16:17,Helicopter,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990276,333654,19,41,2024-04-26 15:00:39,2024-04-27 15:46:39,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990277,334009,11,23,2021-07-14 16:58:42,2021-07-15 02:46:42,Specialized Ambulance,Cryopreservation,Good - Minor superficial bruising - viable
9990278,334015,3,28,2021-11-29 09:08:02,2021-11-29 16:47:02,Medical Courier Service,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990279,333662,39,10,2021-01-01 14:01:14,2021-01-02 00:54:14,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990280,333578,42,49,2020-04-09 03:02:30,2020-04-09 08:58:30,Charter Jet,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990281,333374,38,6,2025-03-31 05:18:56,2025-04-01 04:46:56,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990282,333927,49,33,2021-12-10 23:42:58,2021-12-11 17:04:58,Medical Courier Service,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990283,333618,44,31,2024-07-23 05:21:59,2024-07-23 22:29:59,Helicopter,Cryopreservation,Excellent - No signs of damage or degradation
9990284,334152,19,31,2018-06-25 05:16:17,2018-06-25 09:21:17,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990285,333361,37,3,2020-11-09 23:15:50,2020-11-10 08:52:50,Specialized Ambulance,Cryopreservation,Excellent - No signs of damage or degradation
9990286,334296,26,20,2025-03-27 12:01:25,2025-03-27 22:00:25,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990287,334172,9,27,2021-06-29 08:06:12,2021-06-30 07:04:12,Helicopter,Cryopreservation,Compromised - Significant ischemic injury
9990288,334213,34,18,2020-01-07 01:17:39,2020-01-07 13:03:39,Charter Jet,Cryopreservation,Good - Minor superficial bruising - viable
9990289,333593,25,6,2019-07-09 00:52:45,2019-07-09 08:02:45,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990290,334044,50,22,2018-07-28 10:13:23,2018-07-28 14:50:23,Helicopter,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990291,333474,1,7,2019-06-28 16:16:40,2019-06-29 07:37:40,Charter Jet,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990292,334111,19,25,2021-12-26 07:19:14,2021-12-26 09:50:14,Helicopter,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990293,333684,41,21,2022-10-31 22:44:14,2022-11-01 16:31:14,Helicopter,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990294,334098,10,3,2019-02-25 18:45:55,2019-02-26 14:20:55,Charter Jet,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990295,333616,46,11,2023-11-18 16:47:45,2023-11-19 05:04:45,Charter Jet,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990296,333512,7,10,2018-08-20 11:39:32,2018-08-21 11:14:32,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990297,334321,45,3,2018-07-31 04:34:22,2018-07-31 21:16:22,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990298,333496,36,9,2019-04-26 08:47:06,2019-04-27 03:11:06,Charter Jet,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990299,333880,16,10,2018-08-03 07:17:41,2018-08-04 04:12:41,Helicopter,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990300,333520,1,7,2024-11-25 00:45:55,2024-11-25 08:29:55,Charter Jet,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990301,333503,31,47,2023-01-14 13:39:14,2023-01-14 23:51:14,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990302,334315,8,20,2022-03-27 08:24:33,2022-03-28 06:23:33,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990303,334250,26,47,2025-02-21 23:17:01,2025-02-22 07:51:01,Helicopter,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990304,334298,17,10,2019-10-05 07:31:07,2019-10-05 19:58:07,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990305,334182,3,50,2021-03-16 01:44:11,2021-03-16 14:25:11,Medical Courier Service,Cryopreservation,Good - Minor superficial bruising - viable
9990306,333412,20,24,2021-09-23 11:11:00,2021-09-23 15:40:00,Specialized Ambulance,Cryopreservation,Excellent - No signs of damage or degradation
9990307,334100,50,28,2021-03-18 20:43:24,2021-03-19 11:25:24,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990308,334315,22,20,2024-04-26 11:37:56,2024-04-26 18:50:56,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990309,333357,19,47,2019-03-13 06:22:12,2019-03-14 02:46:12,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990310,334239,45,4,2024-02-05 15:05:02,2024-02-06 15:35:02,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990311,334053,9,19,2023-05-20 04:35:42,2023-05-20 12:25:42,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990312,333478,24,7,2019-11-26 12:37:39,2019-11-27 03:15:39,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990313,333431,19,40,2023-11-23 10:37:06,2023-11-23 18:31:06,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990314,333701,39,30,2025-02-16 06:06:48,2025-02-16 22:56:48,Charter Jet,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990315,333370,46,44,2023-07-14 18:04:21,2023-07-15 18:06:21,Helicopter,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990316,333470,26,32,2020-07-18 18:52:25,2020-07-18 21:38:25,Specialized Ambulance,Cryopreservation,Compromised - Significant ischemic injury
9990317,333400,38,37,2025-02-03 04:57:48,2025-02-03 07:33:48,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990318,334281,12,5,2020-12-30 18:25:37,2020-12-31 01:55:37,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990319,333722,19,38,2024-01-02 14:00:05,2024-01-03 07:39:05,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990320,333853,28,32,2023-10-10 23:57:26,2023-10-11 07:59:26,Helicopter,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990321,333675,22,6,2022-12-25 14:09:52,2022-12-25 19:27:52,Charter Jet,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990322,334268,14,21,2023-07-28 15:17:23,2023-07-29 05:53:23,Specialized Ambulance,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990323,334152,39,22,2018-11-17 15:57:56,2018-11-18 13:27:56,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990324,334090,18,33,2018-12-13 08:11:26,2018-12-13 21:20:26,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990325,333657,16,18,2021-06-08 21:37:28,2021-06-09 09:33:28,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990326,333488,12,10,2024-02-11 13:49:04,2024-02-12 02:24:04,Charter Jet,Cryopreservation,Good - Minor superficial bruising - viable
9990327,334192,21,15,2024-03-16 13:44:06,2024-03-17 05:42:06,Air Transport (Commercial),Cryopreservation,Good - Minor superficial bruising - viable
9990328,333500,41,14,2022-07-03 15:54:15,2022-07-04 13:55:15,Charter Jet,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990329,333482,40,2,2025-02-28 23:49:12,2025-03-01 12:05:12,Medical Courier Service,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990330,333640,28,30,2024-02-29 13:21:18,2024-03-01 03:56:18,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990331,333777,38,11,2021-09-29 00:07:42,2021-09-29 16:09:42,Helicopter,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990332,334153,15,4,2019-08-24 10:36:38,2019-08-25 09:25:38,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990333,333781,24,39,2019-10-20 12:01:33,2019-10-20 21:30:33,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990334,333862,16,8,2021-03-01 06:24:20,2021-03-02 04:11:20,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990335,334019,20,41,2019-04-21 20:46:20,2019-04-21 23:46:20,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990336,333397,43,32,2020-08-23 21:45:33,2020-08-24 00:19:33,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990337,333450,6,7,2018-09-20 02:05:04,2018-09-21 00:56:04,Charter Jet,Cryopreservation,Excellent - No signs of damage or degradation
9990338,334174,9,6,2021-07-03 04:16:25,2021-07-03 18:23:25,Medical Courier Service,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990339,333453,36,12,2025-04-08 20:44:43,2025-04-09 18:30:43,Specialized Ambulance,Cryopreservation,Compromised - Significant ischemic injury
9990340,333479,41,26,2020-01-23 10:29:05,2020-01-23 20:43:05,Specialized Ambulance,Cryopreservation,Good - Minor superficial bruising - viable
9990341,334057,2,37,2019-03-14 23:34:48,2019-03-15 16:12:48,Helicopter,Cryopreservation,Compromised - Significant ischemic injury
9990342,333936,4,28,2020-03-26 19:42:42,2020-03-27 07:52:42,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990343,334022,14,7,2024-05-10 09:14:04,2024-05-10 22:08:04,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990344,333565,38,16,2021-08-29 10:38:25,2021-08-30 06:56:25,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990345,333572,41,48,2021-12-25 13:09:55,2021-12-26 10:42:55,Charter Jet,Cryopreservation,Excellent - No signs of damage or degradation
9990346,333552,34,45,2024-03-19 21:25:11,2024-03-20 02:38:11,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990347,334233,18,49,2018-07-01 02:53:05,2018-07-01 13:34:05,Helicopter,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990348,333767,25,33,2023-02-21 17:07:01,2023-02-22 10:30:01,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990349,333691,40,1,2019-08-22 19:30:16,2019-08-23 16:16:16,Helicopter,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
